venue,venue_key,status,query,place,admin1,country_code,country,latitude,longitude,timezone,countries_voted,source,note
"Castle Avenue, Dublin",castle avenue dublin,mapped,Dublin,Dublin,Leinster,IE,Ireland,53.3331,-6.2489,Europe/Dublin,GB IE JM TT BB GY LC VC AG GD KN DM PK ZW ZA AU,open-meteo-geocoding,
Castle Park Cricket Ground,castle park cricket ground,mapped,Colchester,Colchester,England,GB,United Kingdom,51.8892,0.9042,Europe/London,FJ GB GG,open-meteo-geocoding,
"Castle Park Cricket Ground, Colchester",castle park cricket ground colchester,mapped,Colchester,Colchester,England,GB,United Kingdom,51.8892,0.9042,Europe/London,GB,open-meteo-geocoding,
Cazaly's Stadium,cazaly s stadium,mapped,Cairns,Cairns,Queensland,AU,Australia,-16.9237,145.7661,Australia/Brisbane,AU,open-meteo-geocoding,
"Cazaly's Stadium, Cairns",cazaly s stadium cairns,mapped,Cairns,Cairns,Queensland,AU,Australia,-16.9237,145.7661,Australia/Brisbane,AU NZ ZA,open-meteo-geocoding,
Cello Basin Reserve,cello basin reserve,mapped,Wellington,Wellington,Wellington Region,NZ,New Zealand,-41.2866,174.7756,Pacific/Auckland,NZ,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Central Broward Regional Park Stadium Turf Ground,central broward regional park stadium turf ground,mapped,Lauderhill,Lauderhill,Florida,US,United States,26.1404,-80.2134,America/New_York,JM TT BB GY LC VC AG GD KN DM US IN PG NZ NA BD CA LK,open-meteo-geocoding,
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",central broward regional park stadium turf ground lauderhill,mapped,Lauderhill,Lauderhill,Florida,US,United States,26.1404,-80.2134,America/New_York,US JM TT BB GY LC VC AG GD KN DM IN PK CA OM IE GB,open-meteo-geocoding,
"Centre for Cricket Development Ground, Windhoek",centre for cricket development ground windhoek,mapped,Windhoek,Windhoek,Khomas Region,NA,Namibia,-22.5594,17.0832,Africa/Windhoek,ZW NA UG,open-meteo-geocoding,
Centro Sportivo Ca'Nova,centro sportivo ca nova,mapped,Medicina,Medicina,Emilia-Romagna,IT,Italy,44.4787,11.6381,Europe/Rome,KY NP,open-meteo-geocoding,country not among the archive's votes
Centro Sportivo Dozza,centro sportivo dozza,mapped,Navile,Naviledo,Piedmont,IT,Italy,46.1603,8.3413,Europe/Rome,AR TZ NP IT KY,open-meteo-geocoding,
Chaudhry Bansi Lal Cricket Stadium,chaudhry bansi lal cricket stadium,mapped,Rohtak,Rohtak,Haryana,IN,India,28.8945,76.5892,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Chester Road North Ground, Kidderminster",chester road north ground kidderminster,mapped,Kidderminster,Kidderminster,England,GB,United Kingdom,52.3882,-2.2500,Europe/London,GB,open-meteo-geocoding,
Chevrolet Park,chevrolet park,mapped,Bloemfontein,Bloemfontein,Free State,ZA,South Africa,-29.1211,26.2140,Africa/Johannesburg,ZA LK PK,open-meteo-geocoding,
"Chevrolet Park, Bloemfontein",chevrolet park bloemfontein,mapped,Bloemfontein,Bloemfontein,Free State,ZA,South Africa,-29.1211,26.2140,Africa/Johannesburg,ZA,open-meteo-geocoding,
Chilaw Marians Cricket Club Ground,chilaw marians cricket club ground,mapped,Katunayake,Katunayaka,Western Province,LK,Sri Lanka,7.1699,79.8884,Asia/Colombo,IN LK,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Chittagong Divisional Stadium,chittagong divisional stadium,mapped,Chittagong,Chittagong,Chittagong,BD,Bangladesh,22.3384,91.8317,Asia/Dhaka,BD LK ZA AU,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Choice Moosa Stadium, Pearland",choice moosa stadium pearland,mapped,Pearland,Pearland,Texas,US,United States,29.5636,-95.2861,America/Chicago,US GB,open-meteo-geocoding,
Church Street Park,church street park,mapped,Morrisville,Morrisville,North Carolina,US,United States,35.8235,-78.8256,America/New_York,PA US BZ CA,open-meteo-geocoding,
"Church Street Park, Morrisville",church street park morrisville,mapped,Morrisville,Morrisville,North Carolina,US,United States,35.8235,-78.8256,America/New_York,US,open-meteo-geocoding,
"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",church of ireland young men s society cricket club ground belfast,mapped,Belfast,Belfast,Northern Ireland,GB,United Kingdom,54.5968,-5.9254,Europe/London,IE GB,open-meteo-geocoding,
City Oval,city oval,mapped,Pietermaritzburg,Pietermaritzburg,KwaZulu-Natal,ZA,South Africa,-29.6168,30.3928,Africa/Johannesburg,ZA PK,open-meteo-geocoding,
"City Oval, Pietermaritzburg",city oval pietermaritzburg,mapped,Pietermaritzburg,Pietermaritzburg,KwaZulu-Natal,ZA,South Africa,-29.6168,30.3928,Africa/Johannesburg,ZA NZ IN NA,open-meteo-geocoding,
"Civil Service Cricket Club, Stormont",civil service cricket club stormont,mapped,Belfast,Belfast,Northern Ireland,GB,United Kingdom,54.5968,-5.9254,Europe/London,GB IE ZW IN ZA NP NL KE BD AU NA US BM PG HK,open-meteo-geocoding,
"Civil Service Cricket Club, Stormont, Belfast",civil service cricket club stormont belfast,mapped,Belfast,Belfast,Northern Ireland,GB,United Kingdom,54.5968,-5.9254,Europe/London,GB IE ZW NZ LK ZA IN,open-meteo-geocoding,
"Clayton Panama, Panama City",clayton panama panama city,mapped,Panama City,Panama City,Provincia de Panamá,PA,Panama,8.9936,-79.5197,America/Panama,CR MX PA,open-meteo-geocoding,
"Clifton Park Ground, York",clifton park ground york,mapped,York,York,England,GB,United Kingdom,53.9576,-1.0827,Europe/London,GB,open-meteo-geocoding,
Clontarf Cricket Club Ground,clontarf cricket club ground,mapped,Dublin,Dublin,Leinster,IE,Ireland,53.3331,-6.2489,Europe/Dublin,GB IE BD NZ NL CA PK NA HK JM TT BB GY LC VC AG GD KN DM AU JE US,open-meteo-geocoding,
"Clontarf Cricket Club Ground, Dublin",clontarf cricket club ground dublin,mapped,Dublin,Dublin,Leinster,IE,Ireland,53.3331,-6.2489,Europe/Dublin,IE GB PK LK,open-meteo-geocoding,
Cobham Oval,cobham oval,mapped,Whangarei,Whangarei,Northland,NZ,New Zealand,-35.7317,174.3239,Pacific/Auckland,NZ,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Cobham Oval (New),cobham oval new,mapped,Whangarei,Whangarei,Northland,NZ,New Zealand,-35.7317,174.3239,Pacific/Auckland,NZ ZW JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"Cobham Oval (New), Whangarei",cobham oval new whangarei,mapped,Whangarei,Whangarei,Northland,NZ,New Zealand,-35.7317,174.3239,Pacific/Auckland,NZ,open-meteo-geocoding,
"Cobham Oval, Whangarei",cobham oval whangarei,mapped,Whangarei,Whangarei,Northland,NZ,New Zealand,-35.7317,174.3239,Pacific/Auckland,NZ,open-meteo-geocoding,
Colin Maiden Park,colin maiden park,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Colin Maiden Park, Auckland",colin maiden park auckland,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ,open-meteo-geocoding,
College Field,college field,mapped,St Peter Port,St Peter Port,,GG,,49.4598,-2.5353,Europe/Guernsey,GG IT DE JE NO IM,open-meteo-geocoding,
"College Field, St Peter Port",college field st peter port,mapped,St Peter Port,St Peter Port,,GG,,49.4598,-2.5353,Europe/Guernsey,JE GG,open-meteo-geocoding,
College Ground,college ground,mapped,Cheltenham,Cheltenham,England,GB,United Kingdom,51.9001,-2.0797,Europe/London,GB,open-meteo-geocoding,
"College Ground, Cheltenham",college ground cheltenham,mapped,Cheltenham,Cheltenham,England,GB,United Kingdom,51.9001,-2.0797,Europe/London,GB,open-meteo-geocoding,
Colombo Cricket Club Ground,colombo cricket club ground,mapped,Colombo,Colombo,Western Province,LK,Sri Lanka,6.9355,79.8487,Asia/Colombo,LK GB IE BD IN TH PK PG ZA,open-meteo-geocoding,
Colts Cricket Club Ground,colts cricket club ground,mapped,Colombo,Colombo,Western Province,LK,Sri Lanka,6.9355,79.8487,Asia/Colombo,LK ZA IN,open-meteo-geocoding,
"Colts Cricket Club Ground, Colombo",colts cricket club ground colombo,mapped,Colombo,Colombo,Western Province,LK,Sri Lanka,6.9355,79.8487,Asia/Colombo,LK,open-meteo-geocoding,
Colwyn Bay Cricket Club Ground,colwyn bay cricket club ground,mapped,Colwyn Bay,Colwyn Bay,Wales,GB,United Kingdom,53.2948,-3.7267,Europe/London,GB,open-meteo-geocoding,
Coolidge Cricket Ground,coolidge cricket ground,mapped,Antigua,Antigua,,AG,Antigua and Barbuda,17.0761,-61.7954,America/Antigua,JM TT BB GY LC VC AG GD KN DM LK,open-meteo-geocoding,
"Coolidge Cricket Ground, Antigua",coolidge cricket ground antigua,mapped,Coolidge,Coolidge,Arizona,US,United States,32.9778,-111.5176,America/Phoenix,JM TT BB GY LC VC AG GD KN DM PK LK ZA BZ US CA PA BS AU BM,open-meteo-geocoding,
County Ground,county ground,mapped,Bristol,Bristol,England,GB,United Kingdom,51.4552,-2.5966,Europe/London,GB AU JM TT BB GY LC VC AG GD KN DM IN NZ ZA LK PK IE BD GG,open-meteo-geocoding,
"County Ground, Bristol",county ground bristol,mapped,Bristol,Bristol,England,GB,United Kingdom,51.4552,-2.5966,Europe/London,GB IN ZA IE LK NZ JM TT BB GY LC VC AG GD KN DM AU NL PK,open-meteo-geocoding,
"County Ground, Chelmsford",county ground chelmsford,mapped,Chelmsford,Chelmsford,England,GB,United Kingdom,51.7358,0.4696,Europe/London,GB BD IE IN NZ ZA LK PK JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"County Ground, Derby",county ground derby,mapped,Derby,Derby,England,GB,United Kingdom,52.9228,-1.4766,Europe/London,GB NZ ZA IN LK PK JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"County Ground, Hove",county ground hove,mapped,Brighton,Brighton,England,GB,United Kingdom,50.8284,-0.1395,Europe/London,GB NZ IN AU LK JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"County Ground, New Road",county ground new road,mapped,Worcester,Worcester,England,GB,United Kingdom,52.1893,-2.2200,Europe/London,GB ZA JM TT BB GY LC VC AG GD KN DM AU PK,open-meteo-geocoding,
"County Ground, New Road, Worcester",county ground new road worcester,mapped,Worcester,Worcester,England,GB,United Kingdom,52.1893,-2.2200,Europe/London,GB NZ AU IN ZA,open-meteo-geocoding,
"County Ground, Northampton",county ground northampton,mapped,Northampton,Northampton,England,GB,United Kingdom,52.2500,-0.8833,Europe/London,GB IN ZA LK PK,open-meteo-geocoding,
"County Ground, Taunton",county ground taunton,mapped,Taunton,Taunton,England,GB,United Kingdom,51.0149,-3.1029,Europe/London,GB,open-meteo-geocoding,
"Cricket Central, Sydney",cricket central sydney,mapped,Sydney,Sydney,New South Wales,AU,Australia,-33.8678,151.2073,Australia/Sydney,AU,open-meteo-geocoding,
Cricket Field Lane,cricket field lane,mapped,Bishop's Stortford,Bishop's Stortford,England,GB,United Kingdom,51.8711,0.1587,Europe/London,BW FJ,open-meteo-geocoding,country not among the archive's votes
"Cricket Field Road Ground, Horsham",cricket field road ground horsham,mapped,Horsham,Horsham,England,GB,United Kingdom,51.0631,-0.3276,Europe/London,GB,open-meteo-geocoding,
"Cricket Stadium, Sector-16",cricket stadium sector 16,mapped,Chandigarh,Chandigarh,Chandigarh,IN,India,30.7363,76.7884,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
DRIEMS Ground,driems ground,mapped,Cuttack,Cuttack,Odisha,IN,India,20.4650,85.8793,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Daren Sammy National Cricket Stadium,daren sammy national cricket stadium,mapped,Gros Islet,Gros Islet,Gros-Islet,LC,Saint Lucia,14.0667,-60.9500,America/St_Lucia,GB JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"Daren Sammy National Cricket Stadium, Gros Islet",daren sammy national cricket stadium gros islet,mapped,Gros Islet,Gros Islet,Gros-Islet,LC,Saint Lucia,14.0667,-60.9500,America/St_Lucia,JM TT BB GY LC VC AG GD KN DM US LK ZA BD GB PK IN,open-meteo-geocoding,
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",daren sammy national cricket stadium gros islet st lucia,mapped,Gros Islet,Gros Islet,Gros-Islet,LC,Saint Lucia,14.0667,-60.9500,America/St_Lucia,JM TT BB GY LC VC AG GD KN DM US GB AU IE ZA BD LK NL IN,open-meteo-geocoding,
"Daren Sammy National Cricket Stadium, St Lucia",daren sammy national cricket stadium st lucia,mapped,Gros Islet,Gros Islet,Gros-Islet,LC,Saint Lucia,14.0667,-60.9500,America/St_Lucia,JM TT BB GY LC VC AG GD KN DM GB,open-meteo-geocoding,
"Darren Sammy National Cricket Stadium, Gros Islet",darren sammy national cricket stadium gros islet,mapped,Gros Islet,Gros Islet,Gros-Islet,LC,Saint Lucia,14.0667,-60.9500,America/St_Lucia,JM TT BB GY LC VC AG GD KN DM IN,open-meteo-geocoding,
"Darren Sammy National Cricket Stadium, St Lucia",darren sammy national cricket stadium st lucia,mapped,Gros Islet,Gros Islet,Gros-Islet,LC,Saint Lucia,14.0667,-60.9500,America/St_Lucia,JM TT BB GY LC VC AG GD KN DM GB IN,open-meteo-geocoding,
"Davies Park, Queenstown",davies park queenstown,mapped,Queenstown,Queenstown,Otago,NZ,New Zealand,-45.0302,168.6627,Pacific/Auckland,IN NZ,open-meteo-geocoding,
De Beers Diamond Oval,de beers diamond oval,mapped,Kimberley,Kimberley,Northern Cape,ZA,South Africa,-28.7323,24.7623,Africa/Johannesburg,IN ZA ZW LK NZ,open-meteo-geocoding,
"De Beers Diamond Oval, Kimberley",de beers diamond oval kimberley,mapped,Kimberley,Kimberley,Northern Cape,ZA,South Africa,-28.7323,24.7623,Africa/Johannesburg,ZA PK NA BD NZ,open-meteo-geocoding,
"De Zoysa Stadium, Moratuwa",de zoysa stadium moratuwa,mapped,Moratuwa,Moratuwa,Western Province,LK,Sri Lanka,6.7730,79.8816,Asia/Colombo,LK,open-meteo-geocoding,
Desert Springs Cricket Ground,desert springs cricket ground,mapped,Almeria,Almería,Andalusia,ES,Spain,36.8381,-2.4597,Europe/Madrid,ES DE,open-meteo-geocoding,
"Desert Springs Cricket Ground, Almeria",desert springs cricket ground almeria,mapped,Almeria,Almería,Andalusia,ES,Spain,36.8381,-2.4597,Europe/Madrid,GB IT ES DE JE DK NL NO FR IE GG SE,open-meteo-geocoding,
Diamond Oval,diamond oval,mapped,Kimberley,Kimberley,Northern Cape,ZA,South Africa,-28.7323,24.7623,Africa/Johannesburg,ZA BD ZW IN NZ,open-meteo-geocoding,
"Diamond Oval, Kimberley",diamond oval kimberley,mapped,Kimberley,Kimberley,Northern Cape,ZA,South Africa,-28.7323,24.7623,Africa/Johannesburg,ZA GB BD LK,open-meteo-geocoding,
Docklands Stadium,docklands stadium,mapped,Melbourne,Melbourne,Victoria,AU,Australia,-37.8140,144.9633,Australia/Melbourne,AU ZA NZ,open-meteo-geocoding,
"Docklands Stadium, Melbourne",docklands stadium melbourne,mapped,Melbourne,Melbourne,Victoria,AU,Australia,-37.8140,144.9633,Australia/Melbourne,AU,open-meteo-geocoding,
Dower Park,dower park,mapped,Bendigo,Bendigo,Victoria,AU,Australia,-36.7582,144.2802,Australia/Melbourne,ID VU,open-meteo-geocoding,country not among the archive's votes
Dr DY Patil Sports Academy,dr dy patil sports academy,mapped,Mumbai,Mumbai,Maharashtra,IN,India,19.0728,72.8826,Asia/Kolkata,IN,open-meteo-geocoding,
"Dr DY Patil Sports Academy, Mumbai",dr dy patil sports academy mumbai,mapped,Navi Mumbai,Navi Mumbai,Maharashtra,IN,India,19.0368,73.0158,Asia/Kolkata,IN AU GB,open-meteo-geocoding,
"Dr DY Patil Sports Academy, Navi Mumbai",dr dy patil sports academy navi mumbai,mapped,Navi Mumbai,Navi Mumbai,Maharashtra,IN,India,19.0368,73.0158,Asia/Kolkata,IN JM TT BB GY LC VC AG GD KN DM BD LK NZ AU ZA,open-meteo-geocoding,
Dr P.V.G. Raju ACA Sports Complex,dr p v g raju aca sports complex,mapped,Vizianagaram,Vizianagaram,Andhra Pradesh,IN,India,18.1169,83.4115,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",dr gokaraju laila ganga raju aca cricket complex cp ground mulapadu,mapped,Mulapadu,Mūlapādu,Andhra Pradesh,IN,India,17.3377,81.6171,Asia/Kolkata,IN,open-meteo-geocoding,
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",dr gokaraju laila ganga raju aca cricket complex dvr ground mulapadu,mapped,Mulapadu,Mūlapādu,Andhra Pradesh,IN,India,17.3377,81.6171,Asia/Kolkata,IN,open-meteo-geocoding,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,dr y s rajasekhara reddy aca vdca cricket stadium,mapped,Visakhapatnam,Visakhapatnam,Andhra Pradesh,IN,India,17.6801,83.2016,Asia/Kolkata,IN JM TT BB GY LC VC AG GD KN DM LK AU NZ GB ZA PK,open-meteo-geocoding,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",dr y s rajasekhara reddy aca vdca cricket stadium visakhapatnam,mapped,Visakhapatnam,Visakhapatnam,Andhra Pradesh,IN,India,17.6801,83.2016,Asia/Kolkata,IN ZA AU GB NZ BD LK,open-meteo-geocoding,
Dreux Sport Cricket Club,dreux sport cricket club,mapped,Dreux,Dreux,Centre-Val de Loire,FR,France,48.7365,1.3657,Europe/Paris,FR BE MT,open-meteo-geocoding,
Drummoyne Oval,drummoyne oval,mapped,Sydney,Sydney,New South Wales,AU,Australia,-33.8678,151.2073,Australia/Sydney,AU,open-meteo-geocoding,
"Drummoyne Oval, Sydney",drummoyne oval sydney,mapped,Sydney,Sydney,New South Wales,AU,Australia,-33.8678,151.2073,Australia/Sydney,AU,open-meteo-geocoding,
Dubai International Cricket Stadium,dubai international cricket stadium,mapped,Dubai,Dubai,Dubai,AE,United Arab Emirates,25.0772,55.3093,Asia/Dubai,AE PK IN GB LK NZ AU IE NA ZA BD PG NL JM TT BB GY LC VC AG GD KN DM OM CA HK NP KE US TH BM SG KW ID,open-meteo-geocoding,
Dubai Sports City Cricket Stadium,dubai sports city cricket stadium,mapped,Dubai,Dubai,Dubai,AE,United Arab Emirates,25.0772,55.3093,Asia/Dubai,AU PK,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Eastern Oval,eastern oval,mapped,Ballarat,Ballarat,Victoria,AU,Australia,-37.5662,143.8496,Australia/Melbourne,AU,open-meteo-geocoding,
"Eastern Oval, Ballarat",eastern oval ballarat,mapped,Ballarat,Ballarat,Victoria,AU,Australia,-37.5662,143.8496,Australia/Melbourne,AU,open-meteo-geocoding,
Eden Gardens,eden gardens,mapped,Kolkata,Kolkata,West Bengal,IN,India,22.5626,88.3630,Asia/Kolkata,IN GB JM TT BB GY LC VC AG GD KN DM LK PK BD ZA NZ AU IE NL KE ZW,open-meteo-geocoding,
"Eden Gardens, Kolkata",eden gardens kolkata,mapped,Kolkata,Kolkata,West Bengal,IN,India,22.5626,88.3630,Asia/Kolkata,IN GB JM TT BB GY LC VC AG GD KN DM ZA IT NZ BD PK LK NL AU,open-meteo-geocoding,
Eden Park,eden park,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ AU IN GB PK ZA JM TT BB GY LC VC AG GD KN DM LK ZW BD,open-meteo-geocoding,
Eden Park No 2,eden park no 2,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ AU,open-meteo-geocoding,
"Eden Park No 2, Auckland",eden park no 2 auckland,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ,open-meteo-geocoding,
Eden Park Outer Oval,eden park outer oval,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ ZA,open-meteo-geocoding,
"Eden Park Outer Oval, Auckland",eden park outer oval auckland,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ,open-meteo-geocoding,
"Eden Park, Auckland",eden park auckland,mapped,Auckland,Auckland,Auckland,NZ,New Zealand,-36.8485,174.7635,Pacific/Auckland,NZ AU LK JM TT BB GY LC VC AG GD KN DM IN GB PK ZA,open-meteo-geocoding,
Edgbaston,edgbaston,mapped,Birmingham,Birmingham,England,GB,United Kingdom,52.4814,-1.8998,Europe/London,GB AU IN PK NZ ZA JM TT BB GY LC VC AG GD KN DM BD LK ZW KE,open-meteo-geocoding,
"Edgbaston Foundation Community Sports Ground, Birmingham",edgbaston foundation community sports ground birmingham,mapped,Birmingham,Birmingham,England,GB,United Kingdom,52.4814,-1.8998,Europe/London,GB,open-meteo-geocoding,
"Edgbaston, Birmingham",edgbaston birmingham,mapped,Birmingham,Birmingham,England,GB,United Kingdom,52.4814,-1.8998,Europe/London,GB IN PK AU NZ ZA LK JM TT BB GY LC VC AG GD KN DM NL BD,open-meteo-geocoding,
"Ekeberg Cricket Ground 1, Oslo",ekeberg cricket ground 1 oslo,mapped,Oslo,Oslo,Oslo,NO,Norway,59.9127,10.7461,Europe/Oslo,NO DK GG EE,open-meteo-geocoding,
"Ekeberg Cricket Ground 2, Oslo",ekeberg cricket ground 2 oslo,mapped,Oslo,Oslo,Oslo,NO,Norway,59.9127,10.7461,Europe/Oslo,EE DK,open-meteo-geocoding,country not among the archive's votes
Emerald Heights International School Ground,emerald heights international school ground,mapped,Indore,Indore,Madhya Pradesh,IN,India,22.7179,75.8333,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Enborne Lodge, Newbury",enborne lodge newbury,mapped,Newbury,Newbury,England,GB,United Kingdom,51.4015,-1.3247,Europe/London,GB,open-meteo-geocoding,
Entebbe Cricket Oval,entebbe cricket oval,mapped,Entebbe,Entebbe,Central Region,UG,Uganda,0.0562,32.4795,Africa/Kampala,UG NG KE NA HK TZ NP ZW AE SG BW RW IT CA MY OM BH,open-meteo-geocoding,
Estonian National Cricket and Rugby Field,estonian national cricket and rugby field,mapped,Tallinn,Tallinn,Harju,EE,Estonia,59.4370,24.7535,Europe/Tallinn,EE FI CZ BG,open-meteo-geocoding,
Europa Sports Complex,europa sports complex,mapped,Gibraltar,Gibraltar,,GI,,36.1447,-5.3526,Europe/Gibraltar,GI PT MT EE RS LU JE,open-meteo-geocoding,
F B Colony Ground,f b colony ground,mapped,Vadodara,Vadodara,Gujarat,IN,India,22.2994,73.2081,Asia/Kolkata,IN,hand-curated; coordinates from open-meteo-geocoding,"hand-curated, city-level: identified as Vadodara, Gujarat from Wikipedia's 'F. B. Colony Ground' (previously the Alembic No 2 Ground, opened September 2009), which carries no coordinates; consistent with its 5 matches (Syed Mushtaq Ali Trophy, January 2021) and the archive's IN vote. City-level is the data's own resolution: ERA5 is served on a ~0.1 degree grid, so the ground and the city centre share a cell"
FB Fields,fb fields,mapped,St Clement,St Clement,,JE,,49.1740,-2.0572,Europe/Jersey,OM NG JE TZ GG,open-meteo-geocoding,
"FB Fields, St Clement",fb fields st clement,mapped,St Clement,St Clement,,JE,,49.1740,-2.0572,Europe/Jersey,SE FR TR JE,open-meteo-geocoding,
"FP Fenner's Ground, Cambridge",fp fenner s ground cambridge,mapped,Cambridge,Cambridge,England,GB,United Kingdom,52.2000,0.1167,Europe/London,GB,open-meteo-geocoding,
FTZ Sports Complex (BOI),ftz sports complex boi,mapped,Katunayake,Katunayaka,Western Province,LK,Sri Lanka,7.1699,79.8884,Asia/Colombo,LK GB,open-meteo-geocoding,
"FTZ Sports Complex (Board of Investment), Katunayake",ftz sports complex board of investment katunayake,mapped,Katunayake,Katunayaka,Western Province,LK,Sri Lanka,7.1699,79.8884,Asia/Colombo,LK,open-meteo-geocoding,
Faleata Oval No 1,faleata oval no 1,mapped,Apia,Apia,Tuamasaga,WS,Samoa,-13.8333,-171.7667,Pacific/Apia,GH VU,open-meteo-geocoding,country not among the archive's votes
Faleata Oval No 2,faleata oval no 2,mapped,Apia,Apia,Tuamasaga,WS,Samoa,-13.8333,-171.7667,Pacific/Apia,BE JP,open-meteo-geocoding,country not among the archive's votes
"Faleata Oval No 2, Apia",faleata oval no 2 apia,mapped,Apia,Apia,Tuamasaga,WS,Samoa,-13.8333,-171.7667,Pacific/Apia,VU CK FJ WS,open-meteo-geocoding,
Faleata Oval No 3,faleata oval no 3,mapped,Apia,Apia,Tuamasaga,WS,Samoa,-13.8333,-171.7667,Pacific/Apia,BT WS JP NO,open-meteo-geocoding,
"Farington Cricket Ground, Farington",farington cricket ground farington,mapped,Farington,Farington,England,GB,United Kingdom,53.7047,-2.6827,Europe/London,,open-meteo-geocoding,no country vote; most populous place of that name
Farmers Cricket Club Ground,farmers cricket club ground,mapped,St Martin,St Martin,St Martin,GG,,49.4371,-2.5548,Europe/Guernsey,GG TZ JE NG,open-meteo-geocoding,
"Farmers Cricket Club Ground, St Martin",farmers cricket club ground st martin,mapped,St Martin,St Martin,,JE,,49.2201,-2.0513,Europe/Jersey,JE KE PG IT KW QA DK UG HK BM,open-meteo-geocoding,
"Feethams Cricket Ground, Darlington",feethams cricket ground darlington,mapped,Darlington,Darlington,England,GB,United Kingdom,54.5243,-1.5504,Europe/London,,open-meteo-geocoding,no country vote; most populous place of that name
Feroz Shah Kotla,feroz shah kotla,mapped,Delhi,Delhi,National Capital Territory of Delhi,IN,India,28.6519,77.2315,Asia/Kolkata,IN GB AU LK JM TT BB GY LC VC AG GD KN DM NZ ZA PK NL CA KE BD IE,open-meteo-geocoding,
Fitzherbert Park,fitzherbert park,mapped,Palmerston North,Palmerston North,Manawatu-Wanganui,NZ,New Zealand,-40.3564,175.6111,Pacific/Auckland,NZ,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Fitzherbert Park, Palmerston North",fitzherbert park palmerston north,mapped,Palmerston North,Palmerston North,Manawatu-Wanganui,NZ,New Zealand,-40.3564,175.6111,Pacific/Auckland,NZ,open-meteo-geocoding,
Forthill,forthill,mapped,Dundee,Dundee,Scotland,GB,United Kingdom,56.4691,-2.9749,Europe/London,GB BD TH IE PG US NA NL,open-meteo-geocoding,
"Forthill, Dundee",forthill dundee,mapped,Dundee,Dundee,Scotland,GB,United Kingdom,56.4691,-2.9749,Europe/London,GB OM NA NP NL CA AE,open-meteo-geocoding,
Friendship Oval,friendship oval,mapped,Dasmarinas,Dasmariñas,Calabarzon,PH,Philippines,14.3294,120.9367,Asia/Manila,JP PH ID KR,open-meteo-geocoding,
"GB Oval, Szodliget",gb oval szodliget,mapped,Szodliget,Sződliget,Pest County,HU,Hungary,47.7326,19.1475,Europe/Budapest,HU AT RO LU SI HR,open-meteo-geocoding,
"GMHBA Stadium, South Geelong, Victoria",gmhba stadium south geelong victoria,mapped,Geelong,Geelong,Victoria,AU,Australia,-38.1471,144.3607,Australia/Melbourne,AU NA LK AE NL,open-meteo-geocoding,
"GSSS, Sector 26",gsss sector 26,mapped,Chandigarh,Chandigarh,Chandigarh,IN,India,30.7363,76.7884,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Gaddafi Stadium,gaddafi stadium,mapped,Lahore,Lahore,Punjab,PK,Pakistan,31.5580,74.3507,Asia/Karachi,PK AE ZW LK BD ZA IN JM TT BB GY LC VC AG GD KN DM GB,open-meteo-geocoding,
